Remainder,Steps,Decision_Tree,Score,Success
78912,7,"['Step1: (1,5,6) (6)', 'Step2: (1,5) (1)', 'Step3: (5,4,9) (5,4)', 'Step4: (10) (10)', 'Step5: (3,2) (3,2)', 'Step6: (11) (11)']",5,FALSE
35679101112,4,"['Step1: (1,2,3) (1,2)', 'Step2: (4) (4)', 'Step3: (8) (8)']",1,FALSE
12681012,6,"['Step1: (5,3,8) (5,3)', 'Step2: (6,1,7) (7)', 'Step3: (11) (11)', 'Step4: (9) (9)', 'Step5: (4) (4)']",2,FALSE
12,10,"['Step1: (2,1,3) (2,1)', 'Step2: (10) (10)', 'Step3: (5,4,9) (9)', 'Step4: (5) (5)', 'Step5: (11) (11)', 'Step6: (4) (4)', 'Step7: (6,3) (6,3)', 'Step8: (8) (8)', 'Step9: (7) (7)']",8,FALSE
189101112,6,"['Step1: (3,1,4) (4)', 'Step2: (3,2,5) (3,2)', 'Step3: (1,6,7) (7)', 'Step4: (1,5,6) (6)', 'Step5: (5) (5)']",1,FALSE
4589101112,4,"['Step1: (1,3,4) (1,3)', 'Step2: (6,2,8) (6,2)', 'Step3: (7) (7)']",1,FALSE
1234689101112,3,"['Step1: (6,1,7) (7)', 'Step2: (4,1,5) (5)']",1,FALSE
123891012,5,"['Step1: (5,4,9) (5,4)', 'Step2: (6) (6)', 'Step3: (11) (11)', 'Step4: (7) (7)']",1,FALSE
5789101112,4,"['Step1: (4,2,6) (4,2)', 'Step2: (1,3) (1,3)', 'Step3: (6) (6)']",1,FALSE
123567891112,3,"['Step1: (4,6,10) (10)', 'Step2: (3,1,4) (4)']",1,FALSE
12489101112,4,"['Step1: (6,3,9) (6,3)', 'Step2: (7) (7)', 'Step3: (5) (5)']",1,FALSE
238101112,6,"['Step1: (4,5,9) (9)', 'Step2: (6,1,7) (6,1)', 'Step3: (4,5) (4)', 'Step4: (2,3,5) (5)', 'Step5: (7) (7)']",1,FALSE
167912,7,"['Step1: (1,3,4) (4)', 'Step2: (2,3,5) (2,3)', 'Step3: (8) (8)', 'Step4: (10) (10)', 'Step5: (5) (5)', 'Step6: (11) (11)']",4,FALSE
1237810,7,"['Step1: (4,5,9) (9)', 'Step2: (4) (4)', 'Step3: (12) (12)', 'Step4: (5,6,11) (11)', 'Step5: (6,3) (6)', 'Step6: (5) (5)']",3,FALSE
